2019-11-22 11:28:23 install netbase:all <none> 5.6
2019-11-22 11:28:23 status half-installed netbase:all 5.6
2019-11-22 11:28:23 status unpacked netbase:all 5.6
2019-11-22 11:28:23 install bzip2:amd64 <none> 1.0.6-9.2~deb10u1
2019-11-22 11:28:23 status half-installed bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:28:23 status unpacked bzip2:amd64 1.0.6-9.2~deb10u1
2019-11-22 11:28:23 install libmagic-mgc:amd64 <none> 1:5.35-4+deb10u1
2019-11-22 11:28:23 status half-installed libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:28:23 status unpacked libmagic-mgc:amd64 1:5.35-4+deb10u1
2019-11-22 11:28:23 install libmagic1:amd64 <none> 1:5.35-4+deb10u1
2019-11-22 11:28:23 status half-installed libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:28:23 status unpacked libmagic1:amd64 1:5.35-4+deb10u1
2019-11-22 11:28:23 install file:amd64 <none> 1:5.35-4+deb10u1
2019-11-22 11:28:23 status half-installed file:amd64 1:5.35-4+deb10u1
2019-11-22 11:28:23 status unpacked file:amd64 1:5.35-4+deb10u1
2019-11-22 11:28:23 install mime-support:all <none> 3.62
2019-11-22 11:28:23 status half-installed mime-support:all 3.62
2019-11-22 11:28:23 status unpacked mime-support:all 3.62
2019-11-22 11:28:24 install xz-utils:amd64 <none> 5.2.4-1
2019-11-22 11:28:24 status half-installed xz-utils:amd64 5.2.4-1
2019-11-22 11:28:24 status unpacked xz-utils:amd64 5.2.4-1
2019-11-22 11:28:24 install libglib2.0-0:amd64 <none> 2.58.3-2+deb10u2
2019-11-22 11:28:24 status half-installed libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:28:24 status unpacked libglib2.0-0:amd64 2.58.3-2+deb10u2
2019-11-22 11:28:24 install libglib2.0-data:all <none> 2.58.3-2+deb10u2
2019-11-22 11:28:24 status half-installed libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:28:24 status unpacked libglib2.0-data:all 2.58.3-2+deb10u2
2019-11-22 11:28:24 install libgpm2:amd64 <none> 1.20.7-5
2019-11-22 11:28:24 status half-installed libgpm2:amd64 1.20.7-5
2019-11-22 11:28:24 status unpacked libgpm2:amd64 1.20.7-5
2019-11-22 11:28:24 install libslang2:amd64 <none> 2.3.2-2
